,0,1,2,3
0,Andaman and Nicobar,176,130,0
1,Andhra Pradesh,35451,18378,452
2,Arunachal Pradesh,462,153,3
3,Assam,18666,12173,46
4,Bihar,20612,13462,180
5,Chandigarh,625,459,11
6,Chhattisgarh,4539,3324,20
7,Dadra and Nagar Haveli and Daman,539,357,2
8,Daman and Diu,0,0,0
9,Delhi,116993,95699,3487
10,Goa,2951,1674,18
11,Gujarat,44552,31286,2079
12,Haryana,23306,17667,319
13,Himachal Pradesh,1341,979,11
14,Jammu and Kashmir,11666,6337,206
15,Jharkhand,4320,2485,38
16,Karnataka,47253,18466,928
17,Kerala,9553,4634,35
18,Ladakh,1142,964,1
19,Lakshadweep,0,0,0
20,Maharashtra,275640,152613,10928
21,Manipur,1700,989,0
22,Meghalaya,346,66,2
23,Mizoram,238,159,0
24,Madhya Pradesh,19643,13908,682
25,Nagaland,902,348,0
26,Odisha,14898,10476,77
27,Puducherry,1596,889,21
28,Punjab,8799,5867,221
29,Rajasthan,26437,19502,530
30,Sikkim,220,87,0
31,Tamil Nadu,151820,102310,2167
32,Telengana,39342,25999,386
33,Tripura,2268,1604,3
34,Uttar Pradesh,41383,25743,1012
35,Uttarakhand,3785,2948,50
36,West Bengal,34427,20680,1000
